molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
CHEMBL51979,O=C(O)CCC(=O)NO,inactive,133.103,-0.6434000000000002,3.0,3.0,4.366531544420414
CHEMBL47009,O=C(O)CCC(CP(=O)(O)O)C(=O)O,active,226.121,-0.27029999999999993,4.0,3.0,9.522878745280337
CHEMBL65043,O=C(O)CCC(CC(=O)NO)C(=O)O,active,205.16600000000003,-0.5524999999999998,4.0,4.0,6.657577319177793
CHEMBL63893,N[C@@H](CCC(=O)NO)C(=O)O,inactive,162.14499999999998,-1.3160999999999996,4.0,4.0,4.0
CHEMBL65072,CC(=O)N[C@@H](CC(=O)O)C(=O)NO,inactive,190.155,-1.5287999999999995,4.0,4.0,4.0
CHEMBL433298,O=C(O)CCC(CCCC(=O)NO)C(=O)O,active,233.22,0.22769999999999985,4.0,4.0,6.026872146400302
CHEMBL294281,CC(=O)N[C@H](CC(=O)O)C(=O)NO,inactive,190.155,-1.5287999999999995,4.0,4.0,4.0
CHEMBL432726,O=C(O)CCC(C(=O)O)C(=O)NO,intermediate,191.139,-0.9425999999999994,4.0,4.0,5.3979400086720375
CHEMBL63454,O=C(O)CCC(CCC(=O)NO)C(=O)O,intermediate,219.193,-0.16239999999999966,4.0,4.0,5.920818753952375
CHEMBL303352,O=C(O)CCC(CCCS)C(=O)O,active,206.263,1.262,3.0,3.0,7.045757490560675
CHEMBL63902,N[C@@H](CC(=O)NO)C(=O)O,inactive,148.118,-1.7062,4.0,4.0,4.0
CHEMBL64901,O=C(O)CCC(CP(=O)(O)Cc1c(F)c(F)c(F)c(F)c1F)C(=O)O,active,390.19700000000006,2.7181000000000006,3.0,3.0,7.086186147616283
CHEMBL413963,N[C@H](CC(=O)NO)C(=O)O,inactive,148.118,-1.7062,4.0,4.0,4.0
CHEMBL65860,O=C(O)CCC(CC(=O)O)C(=O)O,inactive,190.151,0.026700000000000057,3.0,3.0,4.698970004336019
CHEMBL304885,O=C(O)CCC(S)C(=O)O,intermediate,164.18200000000002,0.2341999999999999,3.0,3.0,5.585026652029182
CHEMBL60317,O=C(O)CCC(CCCCS)C(=O)O,intermediate,220.29,1.6521000000000001,3.0,3.0,5.958607314841775
CHEMBL417214,O=C(O)CCC(CCCSC(c1ccccc1)(c1ccccc1)c1ccccc1)C(=O)O,inactive,448.5840000000002,6.057500000000006,2.0,3.0,5.0
CHEMBL61882,CSCCCC(CCC(=O)O)C(=O)O,intermediate,220.29,1.6952,2.0,3.0,5.187086643357144
CHEMBL294565,O=C(O)CCCCS,intermediate,134.20000000000002,1.1711,2.0,2.0,5.853871964321762
CHEMBL47009,O=C(O)CCC(CP(=O)(O)O)C(=O)O,active,226.121,-0.27029999999999993,4.0,3.0,9.522878745280337
CHEMBL60941,O=C(O)CCC(CS)C(=O)O,intermediate,178.209,0.48179999999999995,3.0,3.0,5.221848749616356
CHEMBL61832,O=C(O)CCC(CCCSSCCCC(CCC(=O)O)C(=O)O)C(=O)O,intermediate,410.5100000000002,3.0594,4.0,6.0,5.508638306165727
CHEMBL61067,O=C(O)CCC(CCCCCS)C(=O)O,intermediate,234.31699999999998,2.0422,3.0,3.0,5.585026652029182
CHEMBL292562,O=C(O)CCC(CCS)C(=O)O,active,192.23600000000002,0.8719000000000001,3.0,3.0,6.236572006437063
CHEMBL302413,O=C(O)CCC(C(=O)O)P(=O)(O)O,intermediate,212.094,-0.5179,4.0,3.0,5.853871964321762
CHEMBL303352,O=C(O)CCC(CCCS)C(=O)O,active,206.263,1.262,3.0,3.0,7.045757490560675
CHEMBL58232,O=C(O)CCC(CCP(=O)(O)O)C(=O)O,intermediate,240.148,0.11979999999999996,4.0,3.0,5.920818753952375
CHEMBL284762,O=C(O)c1ccc(COC(=O)[C@@H]2[C@H](Cc3ccc(O)cc3)C(=O)N2C(=O)Cc2cccc(C(=O)OCc3ccccc3)c2)cc1,intermediate,607.6150000000004,4.329600000000004,2.0,8.0,5.455931955649724
CHEMBL290489,Cc1ccc(S(=O)(=O)N2C(=O)[C@@H](Cc3ccccc3)[C@H]2COC(=O)c2ccccc2)cc1,intermediate,449.5280000000002,3.610420000000003,0.0,5.0,5.319664486585436
CHEMBL286935,O=C(O)c1ccc(COC(=O)[C@@H]2[C@H](Cc3ccccc3)C(=O)N2C(=O)Cc2cccc(C(=O)OCc3ccccc3)c2)cc1,intermediate,591.6160000000004,4.624000000000004,1.0,7.0,5.0467236633326955
CHEMBL286934,O=C(OCc1ccccc1)c1cccc(CC(=O)N2C(=O)[C@@H](Cc3ccc(O)cc3)[C@H]2C(=O)OCc2ccccc2)c1,active,563.6060000000003,4.631400000000004,1.0,7.0,6.458420756053419
CHEMBL35781,O=C(OCc1ccccc1)c1cccc(CC(=O)N2C(=O)[C@@H](Cc3ccccc3)[C@H]2C(=O)OCc2ccccc2)c1,intermediate,547.6070000000003,4.925800000000004,0.0,6.0,5.844663962534939
CHEMBL288296,Cc1ccc(S(=O)(=O)N2C(=O)[C@@H](Cc3ccccc3)[C@H]2C(=O)OCc2ccccc2)cc1,inactive,449.5280000000002,3.496820000000003,0.0,5.0,4.522878745280337
CHEMBL37039,O=C(OCc1ccccc1)[C@@H]1[C@H](Cc2ccc(O)cc2)C(=O)N1C(=O)c1ccccc1,intermediate,415.4450000000001,3.345500000000002,1.0,5.0,5.039053804266168
CHEMBL37818,O=C(OC[C@@H]1[C@H](Cc2ccccc2)C(=O)N1S(=O)(=O)c1ccccc1)c1ccccc1,intermediate,435.50100000000015,3.3020000000000023,0.0,5.0,5.511449283499556
CHEMBL37038,O=C(O)c1ccc(COC(=O)[C@@H]2[C@H](Cc3ccccc3)C(=O)N2C(=O)c2ccccc2)cc1,inactive,443.45500000000015,3.3381000000000016,1.0,5.0,4.614393726401688
CHEMBL37153,O=C(O)c1ccc(COC(=O)[C@@H]2[C@H](Cc3ccccc3)C(=O)N2C(=O)Cc2cccc(C(=O)O)c2)cc1,inactive,501.49100000000027,2.965200000000001,2.0,6.0,4.522878745280337
CHEMBL36919,O=C(OC[C@@H]1[C@H](Cc2ccccc2)C(=O)N1C(=O)c1ccccc1)c1ccccc1,intermediate,399.4460000000001,3.7535000000000025,0.0,4.0,5.798602875679548
CHEMBL36215,O=C(O)c1ccc(C(=O)OC[C@@H]2[C@H](Cc3ccccc3)C(=O)N2C(=O)c2ccccc2)cc1,inactive,443.45500000000015,3.4517000000000024,1.0,5.0,4.0
CHEMBL285618,O=C(OCc1ccccc1)c1cccc(CC(=O)N2C(=O)[C@@H](Cc3ccccc3)[C@H]2COC(=O)c2ccccc2)c1,inactive,547.6070000000003,5.039400000000005,0.0,6.0,4.0
CHEMBL289238,O=C(O)c1ccc(COC(=O)c2cccc(CC(=O)N3C(=O)[C@@H](Cc4ccccc4)[C@H]3C(=O)OCc3ccc(C(=O)O)cc3)c2)cc1,intermediate,635.6250000000003,4.322200000000003,2.0,8.0,5.2335871528876
CHEMBL286934,O=C(OCc1ccccc1)c1cccc(CC(=O)N2C(=O)[C@@H](Cc3ccc(O)cc3)[C@H]2C(=O)OCc2ccccc2)c1,active,563.6060000000003,4.631400000000004,1.0,7.0,6.645891560852599
CHEMBL37059,CCS(=O)(=O)N1C(=O)[C@@H](Cc2ccccc2)[C@H]1COC(=O)c1ccccc1,intermediate,387.45700000000016,2.2628000000000004,0.0,5.0,5.6595558851598815
CHEMBL286600,NCc1ccc(COC(=O)[C@@H]2[C@H](Cc3ccccc3)C(=O)N2C(=O)Cc2cccc(C(=O)OCc3ccccc3)c2)cc1.O=C(O)C(F)(F)F,intermediate,690.6710000000006,5.017800000000005,2.0,8.0,5.872895201635193
CHEMBL36676,O=C(OC[C@@H]1[C@H](Cc2ccccc2)C(=O)N1S(=O)(=O)c1ccc([N+](=O)[O-])cc1)c1ccccc1,inactive,480.4980000000002,3.210200000000002,0.0,7.0,4.939302159646388
CHEMBL284762,O=C(O)c1ccc(COC(=O)[C@@H]2[C@H](Cc3ccc(O)cc3)C(=O)N2C(=O)Cc2cccc(C(=O)OCc3ccccc3)c2)cc1,intermediate,607.6150000000004,4.329600000000004,2.0,8.0,5.455931955649724
CHEMBL286934,O=C(OCc1ccccc1)c1cccc(CC(=O)N2C(=O)[C@@H](Cc3ccc(O)cc3)[C@H]2C(=O)OCc2ccccc2)c1,active,563.6060000000003,4.631400000000004,1.0,7.0,6.645891560852599
CHEMBL286935,O=C(O)c1ccc(COC(=O)[C@@H]2[C@H](Cc3ccccc3)C(=O)N2C(=O)Cc2cccc(C(=O)OCc3ccccc3)c2)cc1,intermediate,591.6160000000004,4.624000000000004,1.0,7.0,5.0467236633326955
CHEMBL47864,NCc1ccc(COC(=O)[C@@H]2[C@H](Cc3ccccc3)C(=O)N2C(=O)Cc2cccc(C(=O)O)c2)cc1.O=C(O)C(F)(F)F,intermediate,600.5460000000005,3.359000000000001,3.0,7.0,5.872895201635193
CHEMBL289238,O=C(O)c1ccc(COC(=O)c2cccc(CC(=O)N3C(=O)[C@@H](Cc4ccccc4)[C@H]3C(=O)OCc3ccc(C(=O)O)cc3)c2)cc1,intermediate,635.6250000000003,4.322200000000003,2.0,8.0,5.2335871528876
CHEMBL37153,O=C(O)c1ccc(COC(=O)[C@@H]2[C@H](Cc3ccccc3)C(=O)N2C(=O)Cc2cccc(C(=O)O)c2)cc1,inactive,501.49100000000027,2.965200000000001,2.0,6.0,4.522878745280337
CHEMBL286934,O=C(OCc1ccccc1)c1cccc(CC(=O)N2C(=O)[C@@H](Cc3ccc(O)cc3)[C@H]2C(=O)OCc2ccccc2)c1,active,563.6060000000003,4.631400000000004,1.0,7.0,6.458420756053419
CHEMBL35781,O=C(OCc1ccccc1)c1cccc(CC(=O)N2C(=O)[C@@H](Cc3ccccc3)[C@H]2C(=O)OCc2ccccc2)c1,intermediate,547.6070000000003,4.925800000000004,0.0,6.0,5.844663962534939
CHEMBL383676,O=C(O)C(CCCS)Cc1ccccc1,intermediate,224.32500000000005,2.639900000000001,2.0,2.0,5.853871964321762
CHEMBL209190,O=C(O)CC(Cc1cccc(C(=O)O)c1)C(=O)O,inactive,252.22199999999998,1.1028,3.0,3.0,4.823908740944319
CHEMBL208206,O=C(CC(Cc1cccc(C(=O)O)c1)C(=O)O)NO,inactive,267.23699999999997,0.5235999999999998,4.0,4.0,4.823908740944319
CHEMBL206733,O=C(O)c1cccc(CC(CP(=O)(O)Cc2c(F)c(F)c(F)c(F)c2F)C(=O)O)c1,intermediate,452.2680000000001,3.794200000000002,3.0,3.0,5.619788758288394
CHEMBL207343,O=C(O)c1cccc(CC(CP(=O)(O)O)C(=O)O)c1,active,288.192,0.8057999999999998,4.0,3.0,6.920818753952375
CHEMBL207288,O=C(O)c1cccc(SC(CCCS)C(=O)O)c1,active,286.37399999999997,2.6401000000000003,3.0,4.0,7.494850021680094
CHEMBL207350,O=C(O)c1cccc(OC(CCCS)C(=O)O)c1,active,270.3059999999999,1.9267999999999998,3.0,4.0,7.853871964321762
